ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	3:3760-1,5:1562-1,1:1-10284,2:1-6231,4:1-3699
id-NC_045512.2:1..265		1	265	partial	3:3760-3526
gene-GU280_gp01		266	21555	partial	3:3525-1,5:1562-1,1:1-10284,2:1-2176
cds-YP_009724389.1		266	13468	partial	3:3525-1,5:1562-1,1:1-4518
cds-YP_009724389.1		13468	21555	partial	1:4518-10284,2:1-2176
cds-YP_009725295.1		266	13483	partial	3:3525-1,5:1562-1,1:1-4533
id-GU280_gp01		13476	13503	complete	1:4526-4553
id-GU280_gp01-2		13488	13542	complete	1:4538-4592
gene-GU280_gp02		21563	25384	complete	2:2184-6005
cds-YP_009724390.1		21563	25384	complete	2:2184-6005
gene-GU280_gp03		25393	26220	partial	2:6014-6231,4:1-256
cds-YP_009724391.1		25393	26220	partial	2:6014-6231,4:1-256
gene-GU280_gp04		26245	26472	complete	4:281-508
cds-YP_009724392.1		26245	26472	complete	4:281-508
gene-GU280_gp05		26523	27191	complete	4:559-1227
cds-YP_009724393.1		26523	27191	complete	4:559-1227
gene-GU280_gp06		27202	27387	complete	4:1238-1423
cds-YP_009724394.1		27202	27387	complete	4:1238-1423
gene-GU280_gp07		27394	27759	complete	4:1430-1795
cds-YP_009724395.1		27394	27759	complete	4:1430-1795
gene-GU280_gp08		27756	27887	complete	4:1792-1923
cds-YP_009725318.1		27756	27887	complete	4:1792-1923
gene-GU280_gp09		27894	28259	complete	4:1930-2295
cds-YP_009724396.1		27894	28259	complete	4:1930-2295
gene-GU280_gp10		28274	29533	complete	4:2310-3569
cds-YP_009724397.2		28274	29533	complete	4:2310-3569
gene-GU280_gp11		29558	29674	partial	4:3594-3699
cds-YP_009725255.1		29558	29674	partial	4:3594-3699
id-GU280_gp11		29609	29644	complete	4:3645-3680
id-GU280_gp11-2		29629	29657	complete	4:3665-3693
