ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	0:3807-1,6:3317-1,3:1-10409,8:1874-1,7:1764-1,4:2551-1,2:1-3993
id-NC_045512.2:1..265		1	265	partial	0:3807-3589
gene-GU280_gp01		266	21555	partial	0:3588-1,6:3317-1,3:1-10409,8:1874-1,7:1764-1567
cds-YP_009724389.1		266	13468	partial	0:3588-1,6:3317-1,3:1-4580
cds-YP_009724389.1		13468	21555	partial	3:4580-10409,8:1874-1,7:1764-1567
cds-YP_009725295.1		266	13483	partial	0:3588-1,6:3317-1,3:1-4595
id-GU280_gp01		13476	13503	complete	3:4588-4615
id-GU280_gp01-2		13488	13542	complete	3:4600-4654
gene-GU280_gp02		21563	25384	partial	7:1559-1,4:2551-290
cds-YP_009724390.1		21563	25384	partial	7:1559-1,4:2551-290
gene-GU280_gp03		25393	26220	partial	4:281-1,2:1-520
cds-YP_009724391.1		25393	26220	partial	4:281-1,2:1-520
gene-GU280_gp04		26245	26472	complete	2:545-772
cds-YP_009724392.1		26245	26472	complete	2:545-772
gene-GU280_gp05		26523	27191	complete	2:823-1491
cds-YP_009724393.1		26523	27191	complete	2:823-1491
gene-GU280_gp06		27202	27387	complete	2:1502-1687
cds-YP_009724394.1		27202	27387	complete	2:1502-1687
gene-GU280_gp07		27394	27759	complete	2:1694-2059
cds-YP_009724395.1		27394	27759	complete	2:1694-2059
gene-GU280_gp08		27756	27887	complete	2:2056-2187
cds-YP_009725318.1		27756	27887	complete	2:2056-2187
gene-GU280_gp09		27894	28259	complete	2:2194-2559
cds-YP_009724396.1		27894	28259	complete	2:2194-2559
gene-GU280_gp10		28274	29533	complete	2:2574-3833
cds-YP_009724397.2		28274	29533	complete	2:2574-3833
gene-GU280_gp11		29558	29674	complete	2:3858-3974
cds-YP_009725255.1		29558	29674	complete	2:3858-3974
id-GU280_gp11		29609	29644	complete	2:3909-3944
id-GU280_gp11-2		29629	29657	complete	2:3929-3957
