ID or #		Start	End	Type	Contig
==================================================
NC_045512.2:1..29903		1	29903	partial	NODE_2_length_8770_cov_247.700798:8770-121,NODE_1_length_21005_cov_265.270955:21005-57
id-NC_045512.2:1..265		1	265	partial	NODE_2_length_8770_cov_247.700798:8770-8536
gene-GU280_gp01		266	21555	partial	NODE_2_length_8770_cov_247.700798:8535-121,NODE_1_length_21005_cov_265.270955:21005-8339
cds-YP_009724389.1		266	13468	partial	NODE_2_length_8770_cov_247.700798:8535-121,NODE_1_length_21005_cov_265.270955:21005-16426
cds-YP_009724389.1		13468	21555	complete	NODE_1_length_21005_cov_265.270955:16426-8339
cds-YP_009725295.1		266	13483	partial	NODE_2_length_8770_cov_247.700798:8535-121,NODE_1_length_21005_cov_265.270955:21005-16411
id-GU280_gp01		13476	13503	complete	NODE_1_length_21005_cov_265.270955:16418-16391
id-GU280_gp01-2		13488	13542	complete	NODE_1_length_21005_cov_265.270955:16406-16352
gene-GU280_gp02		21563	25384	complete	NODE_1_length_21005_cov_265.270955:8331-4510
cds-YP_009724390.1		21563	25384	complete	NODE_1_length_21005_cov_265.270955:8331-4510
gene-GU280_gp03		25393	26220	complete	NODE_1_length_21005_cov_265.270955:4501-3674
cds-YP_009724391.1		25393	26220	complete	NODE_1_length_21005_cov_265.270955:4501-3674
gene-GU280_gp04		26245	26472	complete	NODE_1_length_21005_cov_265.270955:3649-3422
cds-YP_009724392.1		26245	26472	complete	NODE_1_length_21005_cov_265.270955:3649-3422
gene-GU280_gp05		26523	27191	complete	NODE_1_length_21005_cov_265.270955:3371-2703
cds-YP_009724393.1		26523	27191	complete	NODE_1_length_21005_cov_265.270955:3371-2703
gene-GU280_gp06		27202	27387	complete	NODE_1_length_21005_cov_265.270955:2692-2507
cds-YP_009724394.1		27202	27387	complete	NODE_1_length_21005_cov_265.270955:2692-2507
gene-GU280_gp07		27394	27759	complete	NODE_1_length_21005_cov_265.270955:2500-2135
cds-YP_009724395.1		27394	27759	complete	NODE_1_length_21005_cov_265.270955:2500-2135
gene-GU280_gp08		27756	27887	complete	NODE_1_length_21005_cov_265.270955:2138-2007
cds-YP_009725318.1		27756	27887	complete	NODE_1_length_21005_cov_265.270955:2138-2007
gene-GU280_gp09		27894	28259	complete	NODE_1_length_21005_cov_265.270955:2000-1635
cds-YP_009724396.1		27894	28259	complete	NODE_1_length_21005_cov_265.270955:2000-1635
gene-GU280_gp10		28274	29533	complete	NODE_1_length_21005_cov_265.270955:1620-361
cds-YP_009724397.2		28274	29533	complete	NODE_1_length_21005_cov_265.270955:1620-361
gene-GU280_gp11		29558	29674	complete	NODE_1_length_21005_cov_265.270955:336-220
cds-YP_009725255.1		29558	29674	complete	NODE_1_length_21005_cov_265.270955:336-220
id-GU280_gp11		29609	29644	complete	NODE_1_length_21005_cov_265.270955:285-250
id-GU280_gp11-2		29629	29657	complete	NODE_1_length_21005_cov_265.270955:265-237
id-NC_045512.2:29675..29903		29675	29903	partial	NODE_1_length_21005_cov_265.270955:219-57
id-NC_045512.2:29728..29768		29728	29768	complete	NODE_1_length_21005_cov_265.270955:166-126
